Game Title,Platform,Year,Genre,Publisher,Developer,Release Date,User Rating,Global Sales in Millions,North America Sales,Europe Sales,Japan Sales,Other Sales,Total Revenue,Physical vs Digital Sales %,Peak Concurrent Players,Subscription Revenue,Average Playtime Hours,Player Retention %,Year Over Year Growth %,Best Selling Genre By Year,Sales Growth
Grand Theft Auto V,Xbox One,2012,Action,Sony,Bungie,1/4/2019,1.59,95.66,15.58,7.48,4.08,3.04,4783.21,40.13,900943,5.75,32.64,74.74,9.83,Adventure,-83.40
Call of Duty: Modern Warfare 2,SNES,2022,Puzzle,Electronic Arts,Treyarch,2/16/2022,3.48,2459.89,18.65,9.79,1.04,1.53,122994.44,59.32,995443,5.99,68.74,83.49,12.33,Action,2471.38
The Legend of Zelda: Breath of the Wild,PS4,2019,Shooter,Sony,Rockstar Games,4/1/2013,1.14,321.19,8.77,5.63,4.34,7.32,16059.38,54.57,420406,3.07,66.25,71.07,14.28,Platform,-86.94
Fortnite,GameCube,2018,Shooter,Electronic Arts,Rockstar Games,6/25/2019,9.91,694.50,19.87,4.15,2.62,6.21,34725.06,44.05,214386,4.19,78.49,66.16,12.84,Action,116.23
Grand Theft Auto V,Switch,2010,Shooter,Square Enix,Nintendo,9/16/2020,8.40,41.50,19.22,8.09,4.22,8.74,2075.21,48.23,580224,7.60,27.49,61.94,7.60,Action,-94.02
Fortnite,Xbox 360,2017,RPG,Bethesda,Valve,9/3/2012,5.41,416.98,13.37,6.95,3.84,0.98,20848.88,52.13,240535,3.54,12.58,67.60,7.05,Action,904.66
Grand Theft Auto V,Switch,2021,Strategy,Microsoft,EA Sports,12/13/2020,9.95,2080.88,3.53,0.53,1.07,2.42,104043.80,57.19,807287,3.27,78.71,78.82,6.90,RPG,399.04
Super Mario Odyssey,SNES,2015,Platform,Sony,Treyarch,1/27/2021,4.68,128.66,2.52,9.03,3.48,1.62,6433.23,41.82,105375,1.05,98.61,61.57,11.13,Action,-93.82
Super Mario Odyssey,Wii,2022,Shooter,Nintendo,Treyarch,6/21/2025,9.59,2654.46,3.32,7.21,1.22,0.82,132723.19,54.71,688326,3.76,21.86,82.16,8.22,RPG,1963.09
The Witcher 3: Wild Hunt,PS3,2023,Action,Bethesda,Valve,1/25/2016,9.64,1717.69,19.55,8.03,2.39,8.56,85884.45,52.80,614234,2.78,10.87,76.54,8.37,Action,-35.29
Fortnite,Wii,2015,Adventure,Nintendo,Rockstar Games,1/9/2025,2.32,153.60,9.61,3.90,3.52,3.68,7679.76,55.17,185938,4.96,7.71,66.10,14.54,Sports,-91.06
Animal Crossing: New Horizons,SNES,2022,Platform,Ubisoft,Nintendo,8/9/2010,6.16,2778.99,0.38,5.10,1.79,1.29,138949.38,54.37,877529,8.75,11.48,82.31,5.72,Puzzle,1709.29
Fortnite,Switch,2016,Action,Nintendo,Ubisoft,1/8/2025,3.92,236.15,12.17,9.07,1.66,5.97,11807.72,47.07,697818,2.85,63.78,83.17,12.92,Adventure,-91.50
FIFA 22,GameCube,2022,Platform,Bethesda,EA Sports,4/18/2014,2.45,1075.45,3.66,7.28,1.45,3.82,53772.61,41.85,428345,9.89,60.68,80.06,8.80,Adventure,355.40
Animal Crossing: New Horizons,PS3,2024,Action,Bethesda,Ubisoft,1/8/2017,5.17,4833.46,17.89,6.41,3.33,4.98,241673.13,46.17,150143,7.74,20.37,79.15,14.91,Action,349.44
Red Dead Redemption 2,Xbox One,2016,Platform,Electronic Arts,Treyarch,8/24/2022,7.83,30.79,4.32,4.32,1.64,8.28,1539.47,50.22,163404,2.25,10.27,82.22,14.99,Platform,-99.36
Super Mario Odyssey,Switch,2025,Racing,Sony,Valve,2/23/2014,8.40,3900.86,7.43,1.20,3.85,9.04,195043.19,40.97,520442,2.25,20.34,64.02,12.08,Action,12569.53
FIFA 22,Wii,2015,Racing,Sony,Naughty Dog,11/1/2011,7.62,81.12,14.83,9.73,0.50,2.17,4055.81,44.28,637459,8.10,11.94,79.43,5.63,Action,-97.92
The Witcher 3: Wild Hunt,PS3,2011,Strategy,Ubisoft,Rockstar Games,5/18/2012,2.57,17.79,11.52,0.90,0.43,7.85,889.30,44.04,232002,7.03,75.00,72.82,6.78,Action,-78.07
FIFA 22,Switch,2020,Racing,Microsoft,Nintendo,11/30/2025,7.45,298.26,11.65,1.02,3.62,5.04,14912.85,41.37,465316,7.06,26.98,82.91,12.94,Racing,1576.91
Super Mario Odyssey,NES,2016,Adventure,Square Enix,Valve,3/13/2019,8.95,135.99,9.10,7.70,0.37,9.39,6799.31,52.77,805126,5.35,28.39,70.88,11.55,Action,-54.41
FIFA 22,Wii,2020,Racing,Bethesda,Rockstar Games,3/28/2017,9.12,833.31,10.80,0.77,3.57,7.33,41665.70,50.48,606799,5.25,96.98,63.67,7.70,Platform,512.79
FIFA 22,SNES,2018,RPG,Square Enix,Naughty Dog,3/10/2015,2.62,533.32,7.80,3.29,2.81,2.65,26666.13,41.91,719907,2.82,97.16,78.89,6.95,Puzzle,-36.00
Red Dead Redemption 2,PS3,2012,Puzzle,Activision,Nintendo,4/25/2016,3.34,13.66,13.49,5.99,1.09,3.88,682.76,53.04,971354,7.66,15.03,82.75,7.15,Strategy,-97.44
Super Mario Odyssey,Xbox 360,2025,Strategy,Square Enix,Naughty Dog,3/28/2025,4.68,288.24,3.24,7.43,1.70,8.31,14412.04,40.73,911813,7.78,54.45,82.47,7.51,Platform,2010.84
Minecraft,Switch,2023,Action,Nintendo,Naughty Dog,3/7/2019,7.26,2014.30,0.88,9.46,4.03,6.26,100714.97,55.72,270960,6.89,7.97,66.66,7.24,Action,598.83
Grand Theft Auto V,PS4,2018,Shooter,Ubisoft,Bungie,4/3/2010,6.19,387.73,10.41,8.84,3.97,4.10,19386.34,42.87,464195,0.43,70.62,85.99,9.22,Shooter,-80.75
Grand Theft Auto V,GameCube,2010,Racing,Sony,Ubisoft,9/16/2025,5.99,41.62,9.00,2.50,3.67,1.92,2080.95,46.06,799666,7.68,10.63,60.91,5.62,Platform,-89.27
Fortnite,NES,2016,Platform,Sony,Naughty Dog,1/22/2022,3.43,257.53,18.63,2.46,3.66,5.10,12876.58,42.64,665046,0.50,60.72,87.54,8.00,Adventure,518.78
Animal Crossing: New Horizons,GameCube,2021,Action,Microsoft,Valve,6/29/2013,7.51,1858.05,7.20,3.52,1.82,3.34,92902.40,52.19,796531,4.80,81.36,80.70,6.26,Strategy,621.48
Fortnite,Switch,2012,Racing,Electronic Arts,EA Sports,7/28/2014,1.80,9.72,13.45,3.99,0.76,1.32,486.18,51.90,725500,2.68,18.19,89.78,6.09,Adventure,-99.48
The Legend of Zelda: Breath of the Wild,PS4,2014,Sports,Square Enix,Naughty Dog,12/14/2025,7.08,186.36,13.84,5.40,3.57,0.75,9318.01,56.24,693684,5.94,73.65,87.70,14.76,Sports,1816.58
The Witcher 3: Wild Hunt,PS3,2024,Adventure,Bethesda,Treyarch,2/10/2010,3.73,4362.51,10.01,9.51,4.90,5.04,218125.50,57.57,375391,8.79,87.59,85.44,13.07,Action,2240.90
Call of Duty: Modern Warfare 2,GameCube,2025,Adventure,Square Enix,Rockstar Games,9/6/2021,5.02,1798.10,3.17,9.42,2.98,7.80,89904.92,49.96,549717,7.10,19.12,76.48,13.12,Racing,-58.78
Minecraft,Xbox One,2019,Racing,Activision,Ubisoft,12/20/2016,3.63,156.91,9.95,9.00,0.12,6.06,7845.52,56.30,629287,9.76,51.54,60.38,10.65,Puzzle,-91.27
Grand Theft Auto V,Switch,2018,Strategy,Sony,Rockstar Games,6/28/2021,3.73,639.53,2.01,0.76,3.95,3.60,31976.56,47.61,407642,4.52,76.66,72.88,7.02,Sports,307.58
Grand Theft Auto V,SNES,2014,Shooter,Activision,Rockstar Games,2/15/2019,9.77,24.31,19.30,2.19,1.52,0.10,1215.42,45.22,770907,6.46,6.72,79.56,7.48,Platform,-96.20
The Legend of Zelda: Breath of the Wild,SNES,2016,RPG,Bethesda,Nintendo,7/31/2019,2.02,96.16,11.83,1.93,0.78,2.61,4807.77,44.62,771816,4.08,69.41,84.09,6.14,Puzzle,295.56
Fortnite,Wii,2010,Sports,Ubisoft,Treyarch,4/8/2012,4.01,19.28,14.17,6.80,3.93,5.95,963.93,52.10,709294,6.12,94.32,62.56,7.40,Shooter,-79.95
Animal Crossing: New Horizons,NES,2021,Adventure,Square Enix,EA Sports,4/23/2018,9.67,1477.69,2.23,5.63,1.01,3.67,73884.32,44.86,488673,5.30,89.28,76.44,6.62,Strategy,7564.93
Fortnite,SNES,2020,Racing,Activision,Nintendo,5/17/2017,8.40,1191.44,3.99,3.14,0.33,3.24,59572.22,52.45,154354,0.51,58.76,68.97,7.32,Platform,-19.37
Animal Crossing: New Horizons,Switch,2021,Adventure,Square Enix,Treyarch,6/15/2017,3.08,1803.77,16.51,5.09,2.97,3.97,90188.61,52.10,609434,0.77,51.15,70.96,6.98,Puzzle,51.39
The Legend of Zelda: Breath of the Wild,PS4,2015,Sports,Microsoft,Treyarch,2/12/2015,5.55,99.20,16.70,6.05,4.64,7.53,4959.95,43.10,661645,1.33,49.55,77.40,7.92,Action,-94.50
Call of Duty: Modern Warfare 2,PS3,2018,Platform,Nintendo,Valve,10/17/2022,6.06,573.54,10.75,4.46,1.71,5.55,28677.01,48.22,983593,9.62,62.80,75.34,6.05,RPG,478.17
Animal Crossing: New Horizons,SNES,2025,Adventure,Electronic Arts,Naughty Dog,9/3/2019,4.37,7538.82,10.43,2.07,4.15,9.38,376941.01,48.91,235206,3.84,87.65,82.56,8.99,Platform,1214.44
The Witcher 3: Wild Hunt,Xbox 360,2023,Action,Ubisoft,EA Sports,12/10/2020,2.99,3351.02,12.53,4.74,2.69,5.29,167550.97,42.01,835259,8.08,58.13,72.92,5.52,Racing,-55.55
Red Dead Redemption 2,SNES,2012,Shooter,Square Enix,Naughty Dog,10/5/2025,1.52,53.32,3.20,1.39,3.90,8.08,2665.87,51.69,909493,6.27,13.63,61.48,12.76,Sports,-98.41
FIFA 22,PS3,2014,Strategy,Bethesda,Bungie,2/4/2018,2.11,137.43,8.59,3.95,0.02,3.12,6871.49,44.32,951407,4.18,17.10,68.61,12.43,RPG,157.76
Grand Theft Auto V,Xbox One,2013,Platform,Sony,Treyarch,4/17/2010,6.93,11.53,0.26,0.27,0.52,7.53,576.37,59.22,367440,1.89,43.61,71.15,12.85,Adventure,-91.61
Red Dead Redemption 2,Xbox 360,2012,Racing,Microsoft,Rockstar Games,7/5/2017,1.91,88.79,9.29,3.52,1.55,9.18,4439.26,55.13,302025,8.10,90.18,65.74,6.03,Racing,670.21
Super Mario Odyssey,NES,2013,Racing,Activision,Naughty Dog,1/31/2025,5.39,78.53,4.86,7.29,0.90,1.87,3926.72,56.15,977725,2.73,44.21,72.40,9.03,Strategy,-11.55
Red Dead Redemption 2,Xbox One,2019,Shooter,Square Enix,Nintendo,10/21/2012,1.75,687.25,9.16,0.24,0.15,6.55,34362.43,53.70,252421,1.69,64.31,69.97,8.53,Action,775.09
Minecraft,Xbox 360,2019,Racing,Sony,Bungie,1/10/2016,1.66,645.58,19.28,4.05,1.04,4.90,32279.19,44.48,212365,9.16,77.33,80.22,11.36,Sports,-6.06
The Witcher 3: Wild Hunt,Wii,2017,Strategy,Microsoft,Bungie,9/27/2010,5.29,460.75,0.98,6.35,1.54,3.48,23037.55,59.64,808943,0.93,27.82,67.18,11.24,Puzzle,-28.63
Call of Duty: Modern Warfare 2,Wii,2023,Sports,Bethesda,Bungie,5/3/2015,8.47,670.88,16.24,1.17,3.83,9.25,33544.17,59.27,297299,1.99,97.45,84.48,14.01,Strategy,45.61
Animal Crossing: New Horizons,NES,2019,Platform,Microsoft,Naughty Dog,8/29/2013,9.40,867.86,10.63,2.13,0.87,5.63,43393.06,49.92,863831,1.42,21.50,60.04,12.86,Strategy,29.36
Minecraft,GameCube,2022,RPG,Electronic Arts,EA Sports,4/11/2022,5.81,505.60,3.38,8.68,0.73,8.79,25280.10,50.78,162098,4.84,53.68,77.84,6.85,Adventure,-41.74
Minecraft,SNES,2012,Platform,Activision,Ubisoft,8/13/2024,4.23,72.63,15.01,7.12,1.79,6.84,3631.30,44.11,934876,9.66,45.88,67.24,5.02,Racing,-85.64
Call of Duty: Modern Warfare 2,Xbox One,2017,Platform,Bethesda,Ubisoft,10/21/2023,9.24,322.54,2.64,8.91,2.14,0.59,16127.06,51.13,329680,4.85,70.88,85.21,8.39,Action,344.11
The Legend of Zelda: Breath of the Wild,GameCube,2022,Action,Sony,Bungie,8/29/2011,7.26,2249.46,13.84,1.07,3.35,8.28,112472.85,57.00,165896,3.97,28.40,69.84,13.76,Action,597.42
The Legend of Zelda: Breath of the Wild,Wii,2010,Strategy,Electronic Arts,Bungie,1/25/2023,9.53,23.04,14.49,9.29,0.72,7.83,1152.14,41.04,284719,9.56,31.59,73.92,6.88,Sports,-98.98
The Witcher 3: Wild Hunt,NES,2017,Racing,Ubisoft,EA Sports,7/25/2021,8.39,114.38,12.13,2.08,3.82,7.36,5718.95,57.36,496638,2.23,19.41,73.37,10.61,Adventure,396.38
Red Dead Redemption 2,Xbox One,2025,Action,Bethesda,Naughty Dog,7/20/2022,4.34,5018.85,18.95,1.54,1.47,2.96,250942.35,40.49,902442,2.32,62.99,89.55,9.62,Sports,4287.91
Call of Duty: Modern Warfare 2,GameCube,2015,Action,Activision,Valve,1/9/2023,1.54,251.59,16.73,9.41,1.69,4.96,12579.50,46.93,514099,9.69,90.79,87.99,9.92,Sports,-94.99
The Legend of Zelda: Breath of the Wild,Switch,2025,Puzzle,Square Enix,Naughty Dog,5/15/2023,6.81,6649.71,13.21,2.58,3.93,1.94,332485.33,44.06,588699,6.27,55.01,84.70,12.14,Adventure,2543.07
The Legend of Zelda: Breath of the Wild,SNES,2019,Strategy,Ubisoft,EA Sports,3/7/2024,9.59,283.75,12.65,5.16,0.10,4.97,14187.72,41.05,834489,9.89,75.39,61.24,5.19,Adventure,-95.73
FIFA 22,Wii,2019,Shooter,Electronic Arts,Rockstar Games,12/19/2014,5.36,1042.91,8.97,8.75,3.78,5.87,52145.57,54.00,411703,3.28,36.10,67.72,12.34,Puzzle,267.54
FIFA 22,SNES,2019,Racing,Electronic Arts,Ubisoft,2/13/2016,7.53,505.33,13.60,4.27,2.68,1.66,25266.73,53.50,897604,5.71,22.40,70.60,12.19,Strategy,-51.55
Animal Crossing: New Horizons,PS3,2025,Action,Nintendo,Nintendo,8/7/2018,9.75,2157.56,9.12,8.65,4.29,0.03,107877.99,56.64,211179,6.28,12.25,85.89,6.71,Platform,326.96
Minecraft,Wii,2018,Puzzle,Sony,EA Sports,7/20/2011,2.25,379.66,16.32,1.96,1.93,7.96,18982.86,43.57,418447,4.88,55.51,69.65,5.08,Racing,-82.40
Red Dead Redemption 2,Switch,2019,RPG,Square Enix,Treyarch,10/4/2013,2.33,440.57,14.55,9.63,4.07,5.32,22028.60,56.33,113612,1.07,74.50,84.69,13.32,Sports,16.04
Red Dead Redemption 2,PC,2012,Action,Microsoft,EA Sports,7/19/2014,5.97,80.28,18.57,4.29,2.45,7.58,4014.22,55.94,708820,0.95,45.43,85.93,10.60,RPG,-81.78
Animal Crossing: New Horizons,SNES,2010,Strategy,Ubisoft,Naughty Dog,6/25/2022,3.98,5.30,11.35,3.88,1.24,9.36,265.21,50.58,341684,6.01,59.85,89.04,9.05,Action,-93.39
FIFA 22,GameCube,2013,Adventure,Ubisoft,Rockstar Games,7/11/2013,7.26,96.12,18.27,3.21,3.39,7.31,4806.19,44.17,928596,8.89,45.39,88.84,8.79,Strategy,1712.24
Super Mario Odyssey,GameCube,2011,Strategy,Microsoft,Rockstar Games,12/17/2014,7.05,29.91,15.36,6.33,4.99,9.29,1495.29,46.77,331540,7.02,5.18,61.62,13.62,Action,-68.89
FIFA 22,GameCube,2021,Puzzle,Square Enix,Valve,2/7/2010,3.69,859.47,9.37,4.49,1.24,5.45,42973.48,47.75,436041,0.77,21.92,80.46,11.02,Racing,2773.93
Minecraft,Xbox 360,2012,Puzzle,Sony,Rockstar Games,9/29/2023,9.92,73.76,5.70,8.22,4.28,1.65,3687.83,59.59,978762,6.29,84.02,81.89,10.04,Puzzle,-91.42
The Witcher 3: Wild Hunt,Switch,2012,Adventure,Bethesda,Bungie,9/4/2014,1.82,32.40,5.15,8.33,4.01,2.07,1619.83,56.37,372995,3.01,81.32,87.92,7.64,Racing,-56.08
The Witcher 3: Wild Hunt,PS4,2010,Shooter,Activision,Treyarch,8/29/2014,6.06,40.60,18.92,5.99,4.31,5.84,2029.84,40.87,266610,5.95,50.11,61.07,9.93,Platform,25.31
The Legend of Zelda: Breath of the Wild,PC,2014,Adventure,Sony,Nintendo,6/7/2013,7.77,166.54,4.46,5.47,2.05,7.30,8326.76,43.40,116187,9.23,69.13,73.68,5.11,RPG,310.22
Grand Theft Auto V,Switch,2016,Platform,Microsoft,Valve,12/21/2012,7.72,297.08,8.76,4.61,0.97,3.49,14854.06,41.21,328842,0.10,81.38,68.04,11.17,Puzzle,78.39
Super Mario Odyssey,GameCube,2022,RPG,Bethesda,EA Sports,12/3/2015,8.54,963.11,3.23,1.27,2.61,8.66,48155.47,54.00,927619,0.03,95.29,61.17,13.72,Platform,224.19
Call of Duty: Modern Warfare 2,SNES,2022,RPG,Bethesda,Valve,9/14/2021,5.37,2217.16,2.67,2.93,1.78,6.62,110858.14,49.49,818546,9.46,56.89,66.23,7.01,Platform,130.21
Call of Duty: Modern Warfare 2,GameCube,2011,Action,Square Enix,Bungie,1/6/2021,8.95,17.52,6.50,7.33,4.20,3.14,876.19,44.41,197971,10.00,90.98,88.60,10.50,Racing,-99.21
Red Dead Redemption 2,SNES,2018,Strategy,Electronic Arts,Valve,2/14/2021,6.52,382.49,16.81,9.32,1.13,6.60,19124.73,51.42,362513,5.97,7.04,84.86,14.31,Strategy,2082.73
Grand Theft Auto V,Wii,2020,Platform,Bethesda,EA Sports,3/4/2020,5.44,328.53,2.58,7.42,0.23,6.25,16426.65,43.93,992895,9.10,48.88,82.55,13.87,Action,-14.11
Minecraft,PS3,2015,Sports,Electronic Arts,Nintendo,11/8/2012,5.36,251.41,15.42,4.88,1.85,3.96,12570.42,40.24,811577,5.78,28.07,63.25,6.82,Shooter,-23.48
Red Dead Redemption 2,Xbox One,2018,Platform,Square Enix,Naughty Dog,11/15/2019,2.32,674.60,0.72,2.66,4.40,8.82,33730.00,42.50,587288,1.08,19.71,69.88,13.28,RPG,168.33
FIFA 22,Wii,2016,Action,Electronic Arts,Valve,12/26/2019,4.87,330.06,18.38,0.91,1.65,0.99,16502.76,41.96,740765,8.12,20.52,63.57,8.03,Strategy,-51.07
Grand Theft Auto V,Wii,2016,Strategy,Sony,Naughty Dog,10/15/2013,1.68,231.89,13.50,2.11,2.45,6.95,11594.32,43.14,911885,6.62,24.57,68.19,6.66,Strategy,-29.74
Call of Duty: Modern Warfare 2,Xbox 360,2013,Strategy,Activision,Valve,1/6/2015,5.06,75.18,4.30,7.47,1.58,5.40,3758.82,49.14,724286,2.38,71.40,66.27,6.39,RPG,-67.58
The Legend of Zelda: Breath of the Wild,PS4,2017,Adventure,Microsoft,Nintendo,11/29/2014,7.72,362.82,4.48,6.00,4.53,6.00,18140.87,53.93,383027,7.42,19.96,86.84,14.48,Racing,382.62
Fortnite,Switch,2016,Puzzle,Sony,Bungie,7/31/2025,5.23,123.04,12.55,9.97,4.49,2.68,6152.20,58.12,222161,5.97,68.35,75.28,9.99,Platform,-66.09
FIFA 22,NES,2017,Puzzle,Ubisoft,Bungie,6/11/2011,7.14,267.54,9.26,9.93,2.95,9.66,13376.96,58.33,402668,2.35,70.59,64.38,11.36,Action,117.43
Minecraft,SNES,2019,Racing,Microsoft,Treyarch,12/9/2016,4.27,827.36,1.51,7.43,1.38,2.16,41367.87,49.18,446590,6.00,9.30,83.74,7.37,RPG,209.25
Grand Theft Auto V,Xbox 360,2015,Puzzle,Activision,Ubisoft,3/27/2017,6.54,212.20,8.61,6.50,3.08,7.18,10610.00,46.41,987595,4.30,16.42,69.62,12.26,RPG,-74.35
The Witcher 3: Wild Hunt,Xbox 360,2016,Adventure,Sony,Bungie,11/29/2010,6.46,31.77,13.72,4.38,0.25,7.06,1588.47,59.74,768547,4.34,69.40,73.42,7.94,Racing,-85.03
FIFA 22,GameCube,2023,Adventure,Electronic Arts,Nintendo,5/26/2018,2.39,2819.26,16.00,0.89,4.75,5.95,140962.79,43.73,471432,8.90,70.15,77.03,8.52,Racing,8774.11
Minecraft,Xbox 360,2024,Sports,Ubisoft,Ubisoft,10/19/2017,1.14,5727.33,1.25,7.07,4.53,7.13,286366.56,44.60,840300,8.40,50.73,63.87,6.07,Strategy,103.15
FIFA 22,Xbox One,2010,RPG,Square Enix,Naughty Dog,10/11/2021,5.56,18.88,19.79,5.46,4.57,4.76,944.09,49.86,931594,9.12,8.41,72.17,6.39,Action,-99.67
Grand Theft Auto V,Wii,2019,Action,Bethesda,Naughty Dog,10/11/2013,7.43,742.25,11.68,3.96,4.95,7.80,37112.41,57.57,626035,8.23,93.91,81.84,7.77,Strategy,3831.02
Fortnite,PS4,2025,Action,Activision,Valve,10/27/2013,8.84,2803.71,14.31,2.44,0.13,8.75,140185.64,45.58,813499,8.93,49.40,72.91,6.69,Shooter,277.73
Animal Crossing: New Horizons,PS4,2021,Adventure,Nintendo,Ubisoft,9/11/2022,7.58,1672.53,3.87,3.73,2.41,5.50,83626.37,55.23,825431,3.63,6.48,67.51,10.86,Action,-40.35
Red Dead Redemption 2,Xbox 360,2019,Strategy,Activision,EA Sports,6/2/2021,3.83,699.08,3.38,5.16,3.19,1.83,34954.15,51.89,961724,4.97,58.93,79.43,13.55,Platform,-58.20
Animal Crossing: New Horizons,Switch,2019,Action,Sony,Valve,12/27/2022,9.86,24.76,11.73,0.65,2.40,9.97,1237.78,50.56,629213,2.14,59.21,79.81,8.27,Strategy,-96.46
Red Dead Redemption 2,Switch,2018,Strategy,Ubisoft,Ubisoft,10/23/2024,2.36,616.41,15.51,9.57,2.02,9.21,30820.63,43.44,392040,5.66,85.81,77.88,8.38,Puzzle,2390.00
Minecraft,PS3,2012,Sports,Activision,Naughty Dog,11/10/2019,3.91,41.75,11.97,2.42,3.08,5.71,2087.40,57.98,145859,0.91,83.18,81.79,7.07,Sports,-93.23
Red Dead Redemption 2,Switch,2013,Platform,Microsoft,Naughty Dog,3/10/2017,4.26,102.60,12.70,4.14,0.09,9.21,5129.80,46.30,424370,2.91,81.30,72.18,12.14,RPG,145.75
Fortnite,NES,2023,Action,Nintendo,Treyarch,12/31/2021,2.98,2885.62,19.36,8.15,0.90,3.40,144280.86,47.48,344744,3.02,56.34,79.35,8.79,Adventure,2712.60
Call of Duty: Modern Warfare 2,PS4,2014,Strategy,Microsoft,Rockstar Games,2/3/2024,1.59,183.17,8.54,6.63,2.08,5.21,9158.31,43.62,960359,0.54,14.91,76.24,5.98,Sports,-93.65
Red Dead Redemption 2,PS4,2022,Platform,Ubisoft,Naughty Dog,8/4/2022,1.14,398.35,17.08,5.39,4.77,6.15,19917.68,49.82,694396,2.85,78.98,88.50,6.09,Platform,117.48
Fortnite,Xbox 360,2015,Racing,Sony,Treyarch,8/18/2020,7.74,115.57,0.23,6.54,3.25,1.23,5778.54,40.95,993401,3.36,34.90,72.35,13.47,RPG,-70.99
The Legend of Zelda: Breath of the Wild,Wii,2025,Action,Nintendo,EA Sports,12/13/2021,6.07,7105.62,5.51,5.92,2.94,5.69,355281.21,50.95,223186,9.96,22.44,60.06,5.44,Puzzle,6048.29
Red Dead Redemption 2,Xbox One,2022,Action,Nintendo,Bungie,2/25/2023,6.77,2764.84,2.27,7.87,4.08,1.02,138242.24,56.66,669895,9.95,76.21,64.93,9.12,Adventure,-61.09
Red Dead Redemption 2,PS4,2020,RPG,Electronic Arts,Naughty Dog,2/24/2010,9.46,1020.44,14.43,2.76,2.69,0.31,51022.18,44.26,491007,3.06,59.81,68.89,11.11,Strategy,-63.09
FIFA 22,Switch,2014,RPG,Activision,Treyarch,11/8/2013,9.21,8.44,12.67,6.53,1.75,5.82,421.77,51.21,543829,8.81,56.15,88.61,10.91,Shooter,-99.17
Fortnite,Xbox One,2018,Sports,Sony,Rockstar Games,8/31/2022,4.09,186.49,19.21,5.74,2.46,4.66,9324.74,53.68,354435,8.54,44.11,70.29,12.61,Adventure,2110.86
FIFA 22,Xbox One,2021,Strategy,Electronic Arts,Naughty Dog,3/9/2013,3.11,46.82,13.27,6.29,1.19,8.87,2341.21,59.27,497796,4.88,52.23,62.93,8.30,Action,-74.89
Super Mario Odyssey,Xbox One,2017,Puzzle,Sony,Ubisoft,4/9/2020,6.46,353.24,2.32,6.23,3.26,3.91,17661.91,40.70,733003,1.29,47.68,69.95,14.71,Racing,654.39
The Witcher 3: Wild Hunt,PC,2020,Puzzle,Microsoft,EA Sports,5/6/2020,2.71,631.50,9.23,8.26,3.97,1.89,31575.14,47.85,951986,1.37,59.69,88.26,12.90,Puzzle,78.78
Minecraft,PS3,2011,Adventure,Ubisoft,Treyarch,5/8/2016,3.12,38.54,0.46,8.83,2.36,7.28,1927.05,49.41,407681,3.15,66.38,72.63,9.26,Platform,-93.90
FIFA 22,Xbox 360,2022,Racing,Activision,Rockstar Games,2/2/2018,2.82,1522.19,3.91,3.60,0.62,0.08,76109.38,50.06,363292,4.60,83.73,60.32,6.30,Strategy,3849.53
FIFA 22,Xbox 360,2019,Sports,Electronic Arts,Ubisoft,5/30/2024,6.64,218.83,18.91,1.64,4.25,6.16,10941.65,45.61,165549,3.39,19.71,60.71,10.92,Adventure,-85.62
FIFA 22,Wii,2011,Shooter,Bethesda,Rockstar Games,10/9/2025,1.68,55.95,11.54,1.08,2.15,5.50,2797.42,49.23,896966,3.25,8.85,69.40,10.38,Puzzle,-74.43
The Legend of Zelda: Breath of the Wild,Xbox 360,2011,Adventure,Microsoft,Nintendo,12/14/2016,5.45,63.71,13.35,2.89,2.77,7.34,3185.30,56.19,964728,0.53,7.41,77.86,6.97,Shooter,13.87
The Legend of Zelda: Breath of the Wild,SNES,2023,Sports,Square Enix,Valve,12/24/2013,4.36,2202.17,15.99,3.82,4.37,2.74,110108.55,46.25,187813,0.08,25.83,77.21,12.53,Puzzle,3356.77
Grand Theft Auto V,Wii,2020,Puzzle,Electronic Arts,Treyarch,7/1/2016,5.05,994.25,10.72,1.49,0.20,0.87,49712.64,55.85,819643,4.33,27.70,64.17,5.91,Puzzle,-54.85
The Legend of Zelda: Breath of the Wild,PC,2015,RPG,Bethesda,Ubisoft,5/7/2018,1.38,231.58,14.34,6.45,3.16,0.09,11578.85,42.55,333875,2.38,98.66,62.69,6.83,Adventure,-76.71
Super Mario Odyssey,PC,2011,Racing,Activision,Nintendo,3/18/2012,7.77,48.15,14.75,4.51,4.60,9.03,2407.44,59.22,380626,1.19,9.12,70.41,13.06,Shooter,-79.21
FIFA 22,PC,2020,Racing,Ubisoft,Valve,6/21/2019,4.56,1020.06,12.59,2.30,4.53,6.48,51003.17,40.31,980053,0.00,98.34,67.16,13.80,Adventure,2018.56
Call of Duty: Modern Warfare 2,PC,2023,Platform,Nintendo,Ubisoft,8/25/2019,7.11,1541.07,9.07,1.19,4.99,6.88,77053.44,42.55,101630,5.16,18.61,87.04,7.99,RPG,51.08
The Legend of Zelda: Breath of the Wild,NES,2023,Action,Ubisoft,Ubisoft,5/5/2012,3.74,3262.65,2.44,1.67,3.07,8.83,163132.34,56.16,450788,5.55,88.89,85.71,9.28,Adventure,111.71
Red Dead Redemption 2,Switch,2014,Action,Nintendo,Valve,10/16/2025,6.45,121.50,13.12,6.83,0.23,0.55,6075.05,51.97,567421,0.17,45.23,77.59,6.65,Platform,-96.28
